,ward,district,date_day,date_year,charge_1_type,race_WHITE HISPANIC,race_BLACK,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_AMER INDIAN / ALASKAN NATIVE,race_UNKNOWN / REFUSED
240,20,007,31,2021,M,0,1,0,0,0,0,0
241,28,011,31,2021,F,0,1,0,0,0,0,0
242,24,011,31,2021,F,0,1,0,0,0,0,0
243,24,011,31,2021,F,0,1,0,0,0,0,0
244,27,011,31,2021,F,1,0,0,0,0,0,0
245,34,005,31,2021,F,0,1,0,0,0,0,0
246,24,010,31,2021,F,1,0,0,0,0,0,0
247,17,008,31,2021,M,0,1,0,0,0,0,0
248,37,015,31,2021,F,0,1,0,0,0,0,0
249,4,002,31,2021,F,0,1,0,0,0,0,0
250,16,008,31,2021,F,0,1,0,0,0,0,0
251,24,010,31,2021,O,0,1,0,0,0,0,0
252,7,004,31,2021,F,0,1,0,0,0,0,0
253,27,012,31,2021,M,0,1,0,0,0,0,0
254,27,012,31,2021,M,0,1,0,0,0,0,0
255,26,025,31,2021,F,0,1,0,0,0,0,0
256,28,011,31,2021,F,0,1,0,0,0,0,0
257,28,011,31,2021,F,0,1,0,0,0,0,0
258,28,011,31,2021,F,0,1,0,0,0,0,0
259,34,005,31,2021,M,0,1,0,0,0,0,0
260,35,025,31,2021,F,0,1,0,0,0,0,0
261,6,007,31,2021,M,0,1,0,0,0,0,0
262,29,015,31,2021,F,0,1,0,0,0,0,0
263,5,003,31,2021,F,0,1,0,0,0,0,0
264,42,018,31,2021,M,0,1,0,0,0,0,0
265,34,022,31,2021,F,0,1,0,0,0,0,0
266,34,022,31,2021,M,0,1,0,0,0,0,0
267,49,024,31,2021,M,0,1,0,0,0,0,0
268,16,007,31,2021,F,0,1,0,0,0,0,0
269,28,011,31,2021,F,0,1,0,0,0,0,0
270,42,018,31,2021,F,1,0,0,0,0,0,0
271,7,003,31,2021,M,0,1,0,0,0,0,0
272,17,007,31,2021,F,0,1,0,0,0,0,0
273,21,006,31,2021,M,0,1,0,0,0,0,0
274,42,001,31,2021,F,0,1,0,0,0,0,0
275,16,008,31,2021,M,0,1,0,0,0,0,0
276,14,008,31,2021,F,1,0,0,0,0,0,0
277,44,019,31,2021,M,0,1,0,0,0,0,0
278,44,019,31,2021,M,0,1,0,0,0,0,0
279,44,019,31,2021,M,0,1,0,0,0,0,0
280,24,010,31,2021,F,0,1,0,0,0,0,0
