,ward,district,date_day,date_year,charge_1_type,race_BLACK,race_WHITE HISPANIC,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_UNKNOWN / REFUSED,race_AMER INDIAN / ALASKAN NATIVE
306,46,019,11,2021,F,1,0,0,0,0,0,0
307,1,014,29,2021,O,0,1,0,0,0,0,0
308,1,014,27,2021,F,0,1,0,0,0,0,0
309,5,003,11,2014,F,1,0,0,0,0,0,0
310,41,016,11,2021,M,1,0,0,0,0,0,0
311,41,016,11,2021,M,1,0,0,0,0,0,0
312,42,001,1,2022,M,1,0,0,0,0,0,0
313,44,019,15,2022,M,1,0,0,0,0,0,0
314,24,010,15,2022,M,1,0,0,0,0,0,0
315,24,010,15,2022,M,1,0,0,0,0,0,0
316,10,004,15,2022,F,1,0,0,0,0,0,0
317,28,011,15,2022,M,1,0,0,0,0,0,0
318,36,016,10,2014,M,0,1,0,0,0,0,0
319,31,025,15,2022,M,0,1,0,0,0,0,0
320,40,024,15,2022,M,1,0,0,0,0,0,0
321,7,004,15,2022,M,1,0,0,0,0,0,0
322,9,005,15,2022,M,1,0,0,0,0,0,0
323,14,009,15,2022,F,0,1,0,0,0,0,0
324,27,012,15,2022,F,1,0,0,0,0,0,0
325,16,008,15,2022,M,1,0,0,0,0,0,0
326,37,015,15,2022,F,1,0,0,0,0,0,0
327,15,007,15,2022,F,1,0,0,0,0,0,0
328,20,003,15,2022,O,1,0,0,0,0,0,0
329,28,011,29,2022,M,1,0,0,0,0,0,0
330,24,011,15,2022,F,1,0,0,0,0,0,0
331,24,011,15,2022,F,1,0,0,0,0,0,0
332,28,015,15,2022,M,1,0,0,0,0,0,0
333,16,007,29,2022,F,1,0,0,0,0,0,0
334,26,012,15,2022,M,0,0,0,1,0,0,0
335,6,006,29,2022,F,1,0,0,0,0,0,0
336,24,011,17,2014,F,1,0,0,0,0,0,0
337,42,018,11,2021,M,0,1,0,0,0,0,0
